ID,lat,lng,Severity,Weather Condition,Visibility (mi),Wind Speed (mph),Precipitation (in),hour,day,month,Description
A-3867869,37.92811,-104.82087,2,Fair,10,10,0,13,2,9,At Graneros Rd/Exit 71 - Accident.
A-3867872,39.17742,-108.8134,2,Fair,10,10,0,13,2,9,Between I-70 and CO-64/E Main St - Accident.
A-3867873,40.08789,-108.77702,3,Fair,10,5,0,20,2,9,Closed between CO-64/E Main St and M Rd - Road closed due to accident.
A-3867874,39.193248,-108.812849,3,Fair,10,10,0,20,2,9,Closed between I-70 and CO-64/E Main St - Road closed due to accident.
A-3867875,39.16516,-104.853074,2,Fair,10,5,0,14,2,9,At Greenland Rd/Exit 167 - Accident.
A-3867876,40.474403,-104.99205,2,Fair,10,10,0,14,2,9,At Crossroads Blvd/Exit 259 - Accident.
A-3867878,39.73481,-104.335185,2,Fair,10,10,0,16,2,9,At CR-2/15th Ave/Exit 306 - Accident.
A-3867891,38.718072,-104.728341,2,Fair,10,10,0,17,2,9,At US-85/US-87/Exit 128 - Accident.
A-3867892,38.699243,-104.721496,2,Fair,10,10,0,17,2,9,At CO-16/Exit 132 - Accident.
A-3867893,38.718072,-104.728341,2,Fair,10,10,0,17,2,9,At US-85/US-87/Exit 128 - Accident.
A-3867897,39.60617,-104.89161,2,Fair,10,5,0,19,2,9,At CO-88/Arapahoe Rd/Exit 197 - Accident.
A-3867898,39.885211,-104.98766,2,Fair,10,5,0,19,2,9,At 104th Ave/Exit 221 - Accident.
A-3867906,39.193248,-108.812849,3,Fair,10,10,0,20,2,9,Closed between M Rd and CO-64/E Main St - Road closed due to accident.
A-3868739,39.900159,-104.988162,2,Fair,10,10,0,5,3,9,At 104th Ave/Exit 221 - Accident.
A-3868740,39.900159,-104.988162,2,Fair,10,5,0,5,3,9,At 104th Ave/Exit 221 - Accident.
A-3868741,39.900159,-104.988162,2,Fair,10,5,0,5,3,9,At 104th Ave/Exit 221 - Accident.
A-3868748,39.097496,-104.863884,2,Fair,10,25,0,8,3,9,At CO-105/Exit 161 - Accident.
A-3868749,39.461239,-104.87424,2,Fair,10,15,0,7,3,9,At Castle Pines Pky/Exit 188 - Accident.
A-3868750,39.923968,-105.110012,2,Fair,10,15,0,8,3,9,At E Flatiron Crossing Dr - Accident.
A-3868751,39.57284,-107.45388,2,Fair,10,5,0,8,3,9,At US-6/Exit 109 - Accident.
A-3868754,38.104702,-107.293219,2,Fair,10,5,0,8,3,9,At Lake Fork Rd - Accident.
A-3868755,38.05634,-107.30296,3,Fair,10,0,0,8,3,9,Closed at Elk Rd - Road closed due to accident.
A-3868756,38.05634,-107.30296,3,Fair,10,0,0,8,3,9,Closed at Elk Rd - Road closed due to accident.
A-3868757,39.78012,-104.951571,2,Fair,10,5,0,9,3,9,At Steele St - Accident.
A-3868760,39.77841,-104.91289,2,Fair,10,10,0,11,3,9,At Dahlia St/Exit 277 - Accident.
A-3868765,39.097496,-104.863884,2,Fair,10,20,0,13,3,9,At CO-105/Exit 161 - Accident.
A-3868766,40.450278,-104.9919,2,Fair,5,10,0,13,3,9,At CO-392/Exit 262 - Accident.
A-3868770,39.826205,-104.98286,2,Fair,10,5,0,14,3,9,At I-25 (North) - Accident.
A-3868771,37.65316,-104.793081,3,Fair,10,10,0,15,3,9,Closed between I-25-bl/US-85/US-87 and CR-610/Red Rock Rd - Road closed due to accident. emergency vehicles at scene.
A-3868772,37.647448,-104.815536,3,Fair,10,10,0,15,3,9,Closed at I-25-bl/US-85/US-87 - Road closed due to accident. emergency vehicles at scene.
